MUSIC NAME	Singer	Genre
Secret	Jay Chou	romance, thriller
Mr.Baroque	JJ Lin	western classical
You're My Love	Zhang Yixing	romance
Wish You Could Decide		
Slowly	Jacky Cheung	Romance, slow
I am What I am	Leslie Cheung	Motivational
Piano Of Sorrow	Zhou Jie Lun	Sad, love
Where Are You Now	Calum Scott, Lost Frequency	Pop
Families	David Guetta	Rock, EDM
Hope for Love		
All the Things You Never Knew	Wang Leehom	motivational, love
Give Me The Time Of A Song	Jay Chou	romance, slow
Magician	Danny Chan	love, thriller
Bicycle	Terdsak Janpan, Jay Chou	slow, instrumental
I Love You Meilan	Liu Jai Chang	slow, love, romance
A Branch of Plum Blossom	Fei Yu Qing	slow, love
Secret Garden	Josh Groban	Pop, rock
Drunk in Love	Dong Zhen, Sheng Wei	love, sad
Wow!	Jay Chou	Pop, edm, rock
Only You Don't Know	Gaho	love, sad
Drunken Master	Chan Kong-sang, Fang Shilong	motivation
Someone With You	Leslie Cheung	love
Lonely Night	Kim Tae-yeon	love
Princess Syndrome	Jay Chou	hip hop, pop
Beautiful	Suho, Chen	love, slow
Together We Move On	yoko nagayama	slow, romantic
Floral Sea	Jay Chou	slow, love
Amicable Breakup	Jay Chou	slow, love
Orchid Pavillion	Jay Chou	love, slow, romantic
At the Border	Nazareth	dark, sad
A Life Of Fighting Is But A Dream	wakin chau	motivation
Glass-like Love	Zhou Shen	love, sad
Where Are We Going, Da	Wu Menghzi	happy, childish
Like That	Xihuan Ni	Pop, rock
Say goodbye	Jay Chou	sad, love
Thinking of you	Ju Jingyi	love, happy
Rain	Xu Mengyuan	fun
Love You	Jackson Wang	love, happy, fun
Run Toward the Future	Leslie Cheung	motivation, happy
Normal Breathing and Heartbeat	Leslie Cheung	happy
Think of Each Other in the Wind and Rain	Deng Li Jun	love, happy, slow
Who's the Keyman	He Jiong, Han Xue, Huang Lei	fun, rock
If this isn't Love	Jennifer Hudson	pop, love
Selfish	Kris Wu	slow, love
Don't Be Afraid	Chau Pak Ho	motivation, rock
When Distance Keeps us Apart	Yi Chen	love, slow
Goodbyes	Zhang Zhenyue	slow, happy
Descendants of the Dragon	Wang Leehom	motivation, rock
Years of Friendship	Emil Chau	friendship
The Promise (Mandarin)	Z.Tao	slow, dark
Glamour Forever	Anita Mui	love
Lonely Shadow	Yammy	Energetic, love
Love Net	Jay Chou	sad, love
With You All the Way	Da Huan	love, slow
Love Support	Jacky Cheung	Rock, love
Dear Child	Anthony Green	pop, instrumental
Messy Hair	Jacky Cheung	Rock
Auld lang syne	Wang Yifeng	rock, pop
At Least I've Got You	Sandy Lam	love, slow
Love Letter	Jacky Cheung	love, slow
be torn with grief	Jay Chou	sad, love
The Pirate song	Ray Stevens	sea shanties
You are the Most Precious	Jay Chou	slow, love
Good Kid	Kendrick Lamar	pop, rap
How Are You	Dan Fisher	Kids
Prague Square	Jay Chou, Jolin Tsai	love, happy
Wolf Legend	Louie Zavala	pop, rap
The Garden	Jay Chou	slow, love
All These Years	Camila Cabello	love, happy
Miss You	Louis Tomlinson	pop, friendship
Bridge of Faith	Kay Williams	instrumental
Chinese Soul		
Change Me	Justin Beiber	pop,love
Sports Car Model	Jay Chou	pop,love
Poems & Tears	Sun Yan Zi	sad, slow
The Daytime Never Know The Darkness Of Night	Na Ying	slow, pain
Left Right Hand		
All the Way	Frank Sinatra	love, pop
The World	Petula Clark	pop
Sailor Afraid Of Water	Jay Chou	rap, energetic, love
Tide	NIKI	pop, thriller
12 Zodiacs	Leehom Wang	pop, dreams
Could You Love Me?	Jay Chou	slow, love
Producer Cypher	Kris Wu	rap
Departing One	Briarcliff	instrumental
Rouge	Naomi Chiaki	Japanese pop
What We are Today	Festive People	Happy, sunny
Let Me Feel the Warmth	Hubert Bummer	slow, instrumental
Cold Rainy Night	Huang Jia Ju	cold, sad
To Love You is to Love Myself	Jay Chou	slow, love
Tough Pill	Izzy Bizu	rap, energetic
The Star	Mariah Carey	Christmas
Time Boils The Rain	Kris Wu	pain, heartbreak
I'm Really Hur	Zhang Xue You	pain, sad
Kangding Love Song	Wu wen ji	love
Hard to Get  Back	Studio le shed	pop
V.O (1)	Piroshka	pop, thriller
Innocence	Avril Lavigne	love
Waiting For You Till My Heart Aches	Jacky Cheung	heartbreak, apology
Naughty Love	Megami Ryōsei	love
I Can't Break Away	Big Pig	rock 
Chivalry is dead	Trevor Wesley	pop 
Another Heaven	Ito Kanako	motivational
Blamefully Beautiful	Leslie Cheung	slow, love
Another Self	Ozgur Buldum	instrumental, love
There Is a Place	Nathaniel Bassey	holy
Superman Can't Fly	Jay Chou	slow, love
Strive For Happiness	Mikal Martin	instrumental
All Of Me	John Legend	love
Impossible to Miss You	Wang Leehom	love
No Need Too Much		
A Man Of Intention	Leslie Cheung	sad
Rainy Night Romance	Jay Chou	romance, love
In My Lifetime	Jay-Z	rap
Breaking Up On Rainy Days	Jacky Cheung	love
Golden Armor	Henrik Wikstrom	thriller, motivation
Self Directed Act	Jay Chou	pop
Dream Time	The Jam	Rock
Blessing	Kari Jobe, Cody Carnes	energetic, holy
Flower Field Mistake+Sun & Moon of My Heart	Leehom Wang	sad
She Came to My Concert	Jacky Cheung	slow, love
The Wind Blows On	Leslie Cheung	slow, dreams
Wonerful Happiness	Jay Chou	slow, love
Love While Walking (Mandarin)	Jay Chou	sad, love
